nom;details;adresse;ville;longitude;latitude
PIZZERIA DA PIETRO;Restaurant traditionnel;39 Rue Vasselot;35000 RENNES;-1.6769452;48.108628
PIZZERIA DA THEO;Restaurant de spécialités;240 RUE DE FOUGERES;35700 RENNES;-1.6525963874431;48.127124598938
PIZZERIA DEL CASTELLO;Restaurant de spécialités;6 rue des Princes;35270 Combourg;-1.7522333;48.4086291
PIZZERIA DU CAFE DE ST MALO;Restaurant de spécialités;2 PLACE GUY LA CHAMBRE;35400 ST MALO;-1.9751733599746;48.66298235582
PIZZERIA ENTRE TERRE ET MER;Restaurant de spécialités;1 Rue de la Libération;35540 PLERGUER;-1.8484477;48.5267811
PIZZERIA FESTIVAL;Restaurant de spécialités;14 rue des Cordiers;35400 St Malo;-2.0241966;48.6482129
PIZZERIA GIOPEPE;Snack (sur place);6 RUE DES SPORTS;35370 ARGENTRE DU PLESSIS;-1.1523448;48.0588812
PIZZERIA GRILL LE MARCO POLO;Restaurant traditionnel;1 PLACE HENRI IV;35470 BAIN DE BRETAGNE;-1.6802919533729;47.843084514571
PIZZERIA GUSTO;Restaurant traditionnel;1 rue de Siochan;35430 ST JOUAN DES GUERETS;-1.977386;48.603308
PIZZERIA L'ECUYER;Restaurant de spécialités;2 RUE GARENGEOT;35500 VITRE;-1.2128386143373;48.124711412109
PIZZERIA L'ESCALE;Restaurant de spécialités;108 avenue de la Gare;35480 Messac;-1.8173777;47.8222299
PIZZERIA LA CASA;Restaurant de spécialités;14 Rue de la Libération;35770 VERN SUR SEICHE;-1.6022595;48.0480042
PIZZERIA LA COMMEDIA;Restaurant de spécialités;27 RUE DES CARMES;35120 DOL DE BRETAGNE;-1.7500469876507;48.551781394397
PIZZERIA LA CORTESSIA;Restaurant de spécialités;15 Place Saint-Malo;35310 BREAL SOUS MONTFORT;-1.8685616;48.0487091
PIZZERIA LA LUPA;Restaurant de spécialités;10 rue Rallier du Baty;35000 Rennes;-1.681409;48.1127934
PIZZERIA LA NAIADE;Restaurant de spécialités;9 place du Théâtre;35300 Fougeres;-1.2027798;48.3547992
PIZZERIA LA PIGNATTA;Restaurant de spécialités;15 RUE JACQUES CARTIER;35400 ST MALO;-2.0234912586705;48.649760863726
PIZZERIA LA SCALA;Brasserie;5 RUE SAINT NICOLAS;35160 MONTFORT SUR MEU;-1.9540168;48.1377721
PIZZERIA LA SCOPA;Restaurant de spécialités;17 Rue de la Madeleine;35410 CHATEAUGIRON;-1.5024955;48.048068
PIZZERIA LA SOURCE;Restaurant de spécialités;7 RUE ERNEST LAMORT;35260 CANCALE;-1.8623032857349;48.668250478216
PIZZERIA LA SQUADRA;Restaurant de spécialités;24 PLACE DE LA MAIRIE;35630 HEDE;-1.8024515568988;48.29600904302
PIZZERIA LA STRADA;Restaurant de spécialités;13 RUE DU CENTRE;35590 ST GILLES;-1.8296446007559;48.154480658895
PIZZERIA LA TOMATE;Restaurant de spécialités;18 Rue Saint-Georges;35000 RENNES;-1.6764707;48.1117929
PIZZERIA LA TRATTORIA CESSON;Restaurant de spécialités;CARREFOUR CESSON SEVIGNE;35510 CESSON SEVIGNE;-1.5890199999999;48.11244
PIZZERIA LA VERANDA;Restaurant de spécialités;9 BOULEVARD DE LA LIBERTE;35220 CHATEAUBOURG;-1.4081110407987;48.10544554732
PIZZERIA LA VILLA ROSSA;Restaurant traditionnel;8 Rue de la Cour Saint-Michel;35150 JANZE;-1.4987702;47.9593015
PIZZERIA LE PILI-PILI;Restaurant traditionnel;11 Rue Victor Hugo;35600 REDON;-2.0854708;47.650713
PIZZERIA LE PLAZZA;Restaurant de spécialités;4 Place Gambetta;35300 FOUGERES;-1.2013206;48.3548842
PIZZERIA LE QUINCAMPOIX;Restaurant de spécialités;lieu dit la Métairie;35520 Melesse;-1.7027995;48.2130047
PIZZERIA LE RELAIS DE LA GRAVELLE;Restaurant traditionnel;LE BOURG;35560 MARCILLE RAOUL;-1.5917549999999;48.4006
PIZZERIA RESTAURANT LA GERVILLOISE;Restaurant de spécialités;9 PLACE DE L EGLISE;35360 BOISGERVILLY;-2.064226350558;48.166627350558
PIZZERIA SANTA LUCIA;Restaurant de spécialités;23 boulevard wilson;35800 DINARD;-2.0535051;48.635118
PIZZERIA SPRINT;Fast-food;1 Promenade du Grand Mail;35130 LA GUERCHE DE BRETAGNE;-1.2325708;47.9427393
PIZZÉRIA LA BEFANA;Restaurant de spécialités;29 SQUARE SAINT MARTIN;35230 NOYAL CHATILLON SUR SEICHE;-1.6620771846837;48.042581111487
PIZZÉRIA LA SAN REMO;Restaurant traditionnel;7 PLACE DE LA GARE;35000 RENNES;-1.6731757;48.104532
POIVRE ROUGE;Restaurant traditionnel;50 RUE DE RENNES;35600 REDON;-2.0728331839996;47.659728693
PUB BELLE EPINE;Salons de thé;52 AVENUE DU CANADA;35200 RENNES;-1.6825999602175;48.082519234565
QUARTIER LATIN;Restaurant traditionnel;40 Place du Colombier;35000 RENNES;-1.6814542;48.1050009
